no,ID,Location_group,Location,Collection_community,Year,Year_hair_growth,PCA_NameYearGrowth,Collection_type,Sex,Age,Trend,Trend2,Cu,Se,Mo,Co,Zn,Na,Mn,Mg,Fe,Cr,P,Ca,K,Cd,Si,Pb,As
401,07-May,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,0,0,Stable,Stable,4.723677934,0.401905429,0.067376986,0.040933113,105.8261982,3.348567914,4.035111033,75.86509113,23.56086078,0.034378846,,978.8127812,26.59803488,,,,
402,07-Jun,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,0,0,Stable,Stable,5.17748384,0.356952026,0.040677969,0.04812578,103.1788145,4.078050616,2.76596015,36.45797382,17.64613349,0.009605961,,518.1584467,22.76152963,,,,
393,114721,Seward Peninsula,Seward Peninsula,22C,2018,2018,Seward Peninsula-2018,Capture,F,Adult,Stable,Stable,5.22568132,0.483754298,0.052739692,0.154492723,113.8399878,9.039939584,31.28748449,76.09794797,125.9718913,0.001354439,,810.7046253,19.65271409,,,,
394,114722,Seward Peninsula,Seward Peninsula,22C,2018,2018,Seward Peninsula-2018,Capture,F,Adult,Stable,Stable,5.236152174,0.730560666,0.007824799,0.008143335,111.6770687,8.929092458,0.640129872,30.06042333,11.95186383,0.024346227,,396.9488985,48.84022453,,,,
395,114724,Seward Peninsula,Seward Peninsula,22C,2018,2018,Seward Peninsula-2018,Capture,F,3-4 yrs.,Stable,Stable,5.038911373,0.563701176,0.009057843,0.012149597,109.7988447,9.158306158,0.35879383,24.08397749,8.651950872,0.013440579,,372.1600215,56.39738822,,,,
396,114726,Seward Peninsula,Seward Peninsula,22C,2018,2018,Seward Peninsula-2018,Capture,F,18 mos.,Stable,Stable,5.182165678,0.697095599,0.020399803,0.008031413,114.9333874,9.742182951,0.406204553,27.58786049,11.09693354,0.030505514,,398.7625927,66.21213356,,,,
398,114733,Seward Peninsula,Seward Peninsula,22C,2018,2018,Seward Peninsula-2018,Capture,F,Calf,Stable,Stable,4.852942337,0.546639224,0.00820855,0.015016356,102.2697647,12.26507622,1.199258098,29.84721744,18.34909644,0.012521207,,516.078062,93.60964639,,,,
399,114734,Seward Peninsula,Seward Peninsula,22C,2018,2018,Seward Peninsula-2018,Capture,F,6 mos.,Stable,Stable,5.675508106,0.68136183,0.019513245,0.015970182,109.014387,15.71237631,0.667591722,29.10675797,17.35373163,0,,447.4868139,64.75917749,,,,
400,07-Apr,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,F,Adult,Stable,Stable,5.067971495,0.340308496,0.042367919,0.033067304,110.0536269,11.28003846,2.393328374,37.84567315,30.2783776,0.082880212,,635.1788319,21.50334966,,,,
403,07-Aug,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,F,Adult,Stable,Stable,4.55802461,0.213604298,0.132802193,0.030709001,108.1531117,36.15727058,2.204716846,44.55427201,27.92387711,0.064955977,,411.066405,59.28647423,,,,
404,07-Sep,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,F,Adult,Stable,Stable,5.387893496,0.195111751,0.066499067,0.120843499,120.1918829,20.69073735,10.38535804,55.59521122,74.65618633,0.075939755,,515.0736855,86.67153329,,,,
405,07-Oct,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,F,Adult,Stable,Stable,4.811041088,0.145111528,0.053473169,0.127300153,95.09955148,46.85683356,14.83112407,177.7088065,56.34918523,0.11342454,,414.4036533,38.60207713,,,,
406,07-Nov,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,F,Adult,Stable,Stable,4.383660745,0.158926413,0.049659364,0.024089634,111.7452519,17.21067611,1.958637668,43.90557353,42.36144871,0.138783394,,287.0552384,39.66111721,,,,
407,Aug-30,Seward Peninsula,Seward Peninsula,22C,2008,2008,Seward Peninsula-2008,Capture,F,Adult,Stable,Stable,5.026861701,0.244835472,0.019241542,0.022663906,109.8681911,9.736591309,0.900471704,28.09261847,13.18004519,0.010094335,,421.9394621,71.54912383,,,,
408,Aug-31,Seward Peninsula,Seward Peninsula,22C,2008,2008,Seward Peninsula-2008,Capture,F,Adult,Stable,Stable,5.005165545,0.269758174,0.015332922,0.184625232,109.3378976,24.37949385,47.04600321,150.4162488,39.6852879,0.001613733,,641.5056611,165.9095111,,,,
409,Aug-32,Seward Peninsula,Seward Peninsula,22C,2008,2008,Seward Peninsula-2008,Capture,F,Adult,Stable,Stable,5.225523481,0.305809996,0.019651898,0.024079965,96.86466913,5.613448688,12.47911755,118.5269682,30.43152276,0.023471993,,418.0205434,38.48859316,,,,
410,Aug-33,Seward Peninsula,Seward Peninsula,22C,2008,2008,Seward Peninsula-2008,Capture,F,Adult,Stable,Stable,4.135544796,0.184606344,0.011728553,0.046167023,83.18093799,11.82540163,17.08507057,119.349321,20.75264198,0.019074982,,352.4520658,77.23307129,,,,
411,Aug-34,Seward Peninsula,Seward Peninsula,22C,2008,2008,Seward Peninsula-2008,Capture,F,Adult,Stable,Stable,5.225009114,0.248572102,0.037444376,0.010779944,111.2010783,26.03022565,0.790840562,27.67455917,10.89737356,0.005470403,,342.4207766,88.28849273,,,,
412,Aug-35,Seward Peninsula,Seward Peninsula,22C,2008,2008,Seward Peninsula-2008,Capture,F,Adult,Stable,Stable,5.323959588,0.226487186,0.004950923,0.01092083,118.8298935,13.10231846,0.508143867,31.67626656,9.35608555,0.00943583,,394.6240018,98.35853906,,,,
413,Aug-36,Seward Peninsula,Seward Peninsula,22C,2008,2008,Seward Peninsula-2008,Capture,F,Adult,Stable,Stable,5.393334694,0.262239907,0.003750289,0.006366366,105.9005833,14.41410821,0.631328334,62.57131479,13.99739396,0.008800242,,393.2478927,91.29472095,,,,
414,Aug-38,Seward Peninsula,Seward Peninsula,22C,2008,2008,Seward Peninsula-2008,Capture,F,Adult,Stable,Stable,4.905764431,0.261456524,0.013145425,0.009106015,114.8291606,9.974929679,0.420698976,22.58845909,9.043637591,0.047251167,,408.4122729,59.98975793,,,,
415,114730,Seward Peninsula,Seward Peninsula,22C,2018,2018,Seward Peninsula-2018,Capture,F,Calf,Stable,Stable,4.755989573,0.500979373,0.005193101,0.013183031,102.6770848,7.998136056,0.468242099,27.18604977,11.09055052,0.000990467,,361.9025911,69.00101391,,,,
416,Q07-01,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,F,Adult,Stable,Stable,4.274218658,0.298648927,0.03886877,0.036747901,88.07480247,9.113372319,1.257653737,37.22011646,39.6468447,0.121591048,,390.5555074,66.10303951,,,,
417,Q07-02,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,F,Adult,Stable,Stable,4.858654926,0.323671112,0.019748389,0.04154368,124.3645964,14.18380987,4.091364431,45.55987075,79.87043799,0.090726729,,578.1883863,55.01382084,,,,
418,Q07-03,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,F,Adult,Stable,Stable,4.717388409,0.514180473,0.044423203,0.077703001,102.7729458,9.949312249,5.787127543,82.5145864,86.79411055,0.080747883,,1042.082837,37.70123814,,,,
419,Q07-07,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2006,Alaska Eastern North Slope-2006,Capture,F,Adult,Stable,Stable,4.877238483,0.412867494,0.022877645,0.031468777,114.0099812,19.41737809,2.37195375,53.59035145,47.39152682,0.06138177,,726.1043342,41.91397345,,,,
420,Q07-12,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2007,Alaska Eastern North Slope-2007,Capture,F,med,Stable,Stable,4.619936885,0.22486231,0.136404197,0.010316476,94.66623095,111.4918802,2.212836715,86.18061971,12.43334179,0.007316315,,641.6667238,128.8714871,,,,
421,Q07-13,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2007,Alaska Eastern North Slope-2007,Capture,F,med,Stable,Stable,3.914280492,0.177100974,0.116084381,0.006566011,82.82136129,42.72329774,1.167536986,44.44141125,10.67776649,0.029134619,,476.1337375,86.96061719,,,,
422,Q07-14,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2007,Alaska Eastern North Slope-2007,Capture,F,4,Stable,Stable,1.65644965,0.097614051,0.019223261,0.006704861,34.52017353,6.285537468,0.629757403,12.1623979,4.08006608,0,,219.1891687,30.54860811,,,,
423,Q07-15,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2007,Alaska Eastern North Slope-2007,Capture,F,3,Stable,Stable,4.712920784,0.277594474,0.029173225,0.043024622,101.9730786,4.561036459,5.490156467,65.57718504,15.16031444,0.001181987,,999.4924756,39.92402599,,,,
424,Q07-16,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2007,Alaska Eastern North Slope-2007,Capture,F,5,Stable,Stable,4.930188061,0.373088555,0.031536421,0.03726565,113.7471377,20.01544352,3.929696485,56.50696944,27.63519642,0.041864873,,883.9541091,58.05284489,,,,
425,Q07-18,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2007,Alaska Eastern North Slope-2007,Capture,F,old,Stable,Stable,4.555243504,0.367744743,0.050213222,0.051288945,117.7183196,11.69342418,4.870499033,41.74408326,36.09858355,0.053258649,,824.6636111,76.50394697,,,,
426,Q07-19,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2007,Alaska Eastern North Slope-2007,Capture,F,old,Stable,Stable,4.866908646,0.798559856,0.033105543,0.069433213,108.9861267,26.27345601,4.8894782,53.0588658,49.58123061,0.149592535,,675.2248167,125.0506985,,,,
427,Q07-20,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2007,Alaska Eastern North Slope-2007,Capture,F,med,Stable,Stable,4.839092799,0.268207386,0.026759471,0.033227965,100.2247315,9.98461938,2.570966304,25.74115983,17.9011591,0.014173039,,377.9119866,47.06665891,,,,
428,Q07-21,Alaska Eastern North Slope,Alaska Eastern North Slope,26B,2007,2007,Alaska Eastern North Slope-2007,Capture,F,old,Stable,Stable,3.975826355,0.179912901,0.021599996,0.017495339,88.691697,8.508408041,2.066906904,25.68301954,19.55889326,0.060911425,,377.4293423,66.99429437,,,,
1,2013 MO - 1,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,2.856025523,0.229451734,0.021552304,0.021606967,89.67708735,21.61020561,1.336048517,63.63542715,52.0767761,0.089861095,84.34360686,340.4505726,40.66735385,0.009557003,22.5991505,0.034720379,0.114739182
2,2013 MO - 10,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.79857383,0.362638573,0.03697684,0.051374096,78.17484456,28.03800856,1.97314572,48.63196989,89.76804181,0.152872512,88.16911995,331.052965,39.82960047,0.048708718,20.44084553,0.065713991,0.12927831
3,2013 MO - 11,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.221803634,0.345789286,0.034585198,0.051101743,75.62315574,30.18416665,2.457776757,50.40747748,99.66619313,0.087267094,89.82608944,375.7513882,88.77179261,0.009958925,45.78080129,0.110716814,0.145466494
4,2013 MO - 12,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.634800813,0.268228893,0.021548899,0.021102557,75.6492442,22.73975792,0.735156296,42.97263435,53.96804446,0.126710293,86.76355797,349.7956936,73.58490704,0.001304595,24.42909107,0.055439267,0.080628901
5,2013 MO - 13,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,2.884850267,0.399204044,0.044498184,0.048854405,82.90119339,56.73088977,1.869990387,58.48337134,118.4252055,0.114638583,94.66967319,388.0540215,115.6760489,0.014456758,65.18785927,0.099537629,0.376260244
6,2013 MO - 14,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.329634331,0.221783929,0.027734302,0.018882488,62.62955772,31.95955671,1.14495955,66.24958986,50.46898098,0.20462114,83.59929317,341.1932691,84.18390361,0.001397897,28.18830782,0.04848697,0.094864636
7,2013 MO - 2,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.401771178,0.311041811,0.022073736,0.026690414,83.75379555,25.18605419,0.804855641,47.27876371,60.90792595,0.088826283,86.41294007,313.2935066,58.29831481,0.002805384,30.19062345,0.042006995,0.218743448
8,2013 MO - 3,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.012442884,0.301110812,0.026856636,0.021071664,82.74553708,19.70785915,0.624501429,35.0216682,47.95115813,0.152970025,88.54029954,252.5899078,48.32243571,0.006358866,24.49967143,0.090238531,0.21676259
9,2013 MO - 4,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.987451617,0.277486958,0.032041998,0.018893514,93.65712252,61.57231618,0.579638079,59.2506017,40.76322665,0.089358785,92.11515964,381.17803,161.682728,0.00261415,25.79430698,0.054664941,0.056126514
10,2013 MO - 5,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.735216795,0.350453711,0.030467418,0.014261378,89.02259392,45.40274103,0.340170223,42.62486442,30.78219743,0.069963183,92.41327114,343.7744852,100.2705617,0.002875388,15.82119527,0.053227749,0.289249761
11,2013 MO - 6,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.369885055,0.308832425,0.010817823,0.011663245,74.99688148,43.76592239,0.399731949,72.38052511,32.07536363,0.06307461,90.93825618,364.4390635,122.1911355,0.000707603,24.68169465,0.037714178,0.044125317
12,2013 MO - 7,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,4.05667374,0.221973568,0.014726861,0.017504921,78.18595465,60.15196411,0.545703626,54.72431132,44.21568629,0.084039463,89.70470572,351.3434307,124.5651978,0.001084954,26.90356625,0.045295062,0.067281444
13,2013 MO - 8,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,2.759189142,0.243497034,0.034995005,0.074995534,85.25220291,64.37411011,4.117837073,68.64096863,122.300363,0.166992727,89.70650877,344.2175283,106.7375317,0.041327899,47.6551513,0.083679555,0.267308239
14,2013 MO - 9,ZackenbergDecline,Zackenberg,Zackenberg,2013,2013,Zackenberg-2013,Capture,Female,Adult,Declining,Declining,3.508782317,0.290790643,0.02237654,0.009364864,79.90892392,41.29928323,0.216264041,48.04022256,20.81990893,0.050127776,91.70461845,327.4649171,112.6450431,0.000484596,11.98716559,0.031696536,0.05720818
15,2015 MO - 21,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,4.340744632,0.271910663,0.033983227,0.016401807,78.83487221,45.65751233,0.569002568,53.06924651,46.77551842,0.265242971,85.3690411,351.2518151,114.3975,0.00169829,15.04487565,0.055188451,0.04383037
16,2015 MO - 22,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,4.393144251,0.241967101,0.032311029,0.132983582,85.55818791,63.7427108,6.852263864,107.4182678,197.7354881,0.307755055,89.42885424,513.9938203,182.7072949,0.004333578,90.24318983,0.131451194,0.103677694
17,2015 MO - 23 ,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,4.173446769,0.245707296,0.022746743,0.040387585,78.5582566,25.40955219,1.30750665,58.75183967,77.95984819,0.152344829,85.58225348,325.8766936,81.2805,0.001368944,36.24612202,0.051615432,0.060956348
18,2015 MO - 24,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,4.048481278,0.31548628,0.023766206,0.059520062,91.45113107,179.7765711,2.722486115,92.02201699,85.50443737,0.116295531,90.23744161,360.2514544,124.7650955,0.030526035,35.18763645,0.051822814,0.08825381
19,2015 MO - 25,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,3.767410555,0.280724702,0.014969942,0.027290658,81.39646011,29.06959698,0.960337125,60.87398351,86.06727829,0.077874867,89.19958618,352.8117711,67.78983459,0.010100948,26.31793569,0.034600981,0.084781919
20,2015 MO - 26,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,3.697039545,0.479413999,0.024996225,0.047286361,94.7064803,33.43572064,3.43845778,60.3535081,104.4547482,0.13357288,93.67881131,331.395979,112.7881394,0.011319989,56.48602435,0.071634583,0.101305262
21,2015 MO - 27,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,4.129160036,0.34810443,0.027072532,0.037154626,92.08351329,50.23980355,1.244184567,69.37303026,81.0508175,0.122940525,94.64409362,532.1004342,170.1703711,0.002587285,56.6598279,0.061587302,0.083483843
22,2015 MO - 28,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,3.933035968,0.287470329,0.018592558,0.035509656,87.29378028,61.90472076,2.079618364,72.64546649,113.6504271,0.207410665,89.38797635,376.4936432,127.6261662,0.002705997,36.2642054,0.041694439,0.036824533
23,2015 MO - 29,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,4.205593683,0.27869493,0.028618955,0.018846713,100.1430682,50.79972689,1.201630078,56.03914611,35.2657623,0.031541953,94.1848564,417.2248564,159.833107,0.001793539,19.17181953,0.024803613,0.044308432
24,2015 MO - 30,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,3.514475807,0.308783206,0.012225332,0.018135196,79.21264413,34.11024293,1.138266767,61.2895145,43.63622152,0.015762954,91.21266191,330.0329111,108.5164465,0.000794383,27.27692937,0.027693318,0.080100323
25,2015 MO - 31,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,3.896513115,0.251249355,0.033023839,0.014555983,85.28880242,29.90245948,0.58633564,40.89314481,38.9741351,0.065208337,92.06741961,333.753537,84.8278052,0.003854962,20.31991572,0.031928803,0.082165114
26,2015 MO - 32,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,3.868817891,0.145108268,0.021557037,0.042921723,90.87334176,45.75782276,2.450716622,88.25067038,94.69341882,0.082010108,89.22457422,384.5421826,143.6882732,0.00656947,37.48226223,0.042734745,0.049545797
27,2015 MO - 33,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,3.761823926,0.186528414,0.024534346,0.028184732,90.605662,39.70766643,1.148948681,54.18219851,56.30108967,0.105027863,86.63073058,363.2975731,125.7715823,0.005511701,38.12893434,0.044175307,0.080299878
28,2015 MO - 34,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,4.092960506,0.292405913,0.012167106,0.048619934,86.96786804,34.20351129,1.438485309,70.2158029,104.4976875,0.108320106,88.52446952,341.4088732,118.9034401,0.003403148,45.33609778,0.063584487,0.108246834
29,2015 MO - 35,ZackenbergDecline,Zackenberg,Zackenberg,2015,2015,Zackenberg-2015,Capture,Female,Adult,Declining,Declining,3.945252693,0.37009373,0.017101974,0.017285703,88.26952629,162.6704908,0.533234308,90.29931877,96.44611195,0.060221237,88.68944437,318.9746601,117.8135358,0.002028022,17.2498774,0.026931856,0.072015809
30,2017 MO - 23,ZackenbergDecline,Zackenberg,Zackenberg,2017,2017,Zackenberg-2017,Capture,Female,Adult,Declining,Declining,4.248804965,0.279544797,0.015530399,0.022256574,93.49746497,25.91478888,1.098328789,45.7260205,54.93995173,0.065387257,92.04659823,366.6287954,73.29876072,0.003833904,42.22758222,0.05740908,0.050328148
31,2017 MO - 29,ZackenbergDecline,Zackenberg,Zackenberg,2017,2017,Zackenberg-2017,Capture,Female,Adult,Declining,Declining,4.258302147,0.135700683,0.022784119,0.022870485,92.2886652,36.13075471,0.685437941,126.1779412,36.14811735,0.045697819,96.58411765,438.9164706,109.5885294,0.002147417,28.46419706,0.043565045,0.0340778
32,2017 MO - 30,ZackenbergDecline,Zackenberg,Zackenberg,2017,2017,Zackenberg-2017,Capture,Female,Adult,Declining,Declining,4.200026064,0.321513286,0.022946036,0.023740377,103.7824972,74.34529857,1.259870152,83.08909271,43.90368602,0.09495795,95.06442097,491.3985729,166.2602082,0.002623478,42.23206143,0.052546157,0.096262866
